OBJECT,MJD,MJD_ERR,HJD,OBSDATE,OBSTIME,FILTER,OBSID,EXTENSION,FLUX_AA_5,FLUX_AA_5_ERR_SIG5,FLUX_HZ_5,FLUX_HZ_5_ERR_SIG7P5
Mrk841,57531.81593591516,9.245815973177E-4,57532.32076168933,2016-05-23,19:34:56,UVW1,00036388027,1,1.9928337E-14,3.0949229E-16,4.4625716,0.07579374
Mrk841,57531.817371982404,4.615567131312909E-4,57532.32219770933,2016-05-23,19:37:00,U,00036388027,1,1.5168519E-14,2.6277927E-16,6.201642,0.11810671
Mrk841,57531.81834847246,4.6168425913762165E-4,57532.32317416704,2016-05-23,19:38:25,B,00036388027,1,7.934908E-15,1.5843207E-16,4.960168,0.10474507
Mrk841,57531.82072527477,0.0018505041666880802,57532.32555089105,2016-05-23,19:41:50,UVW2,00036388027,1,2.6780785E-14,3.262864E-16,3.6921332,0.051602058
Mrk841,57531.82308975475,4.616204859619891E-4,57532.327915293135,2016-05-23,19:45:14,V,00036388027,1,6.5066657E-15,1.7776813E-16,6.3335466,0.18039304
Mrk841,57531.83142312014,0.007823987731503116,57532.33624838411,2016-05-23,19:57:14,UVM2,00036388027,1,2.4070096E-14,2.165697E-16,3.9891217,0.046560477
Mrk841,57531.892913446994,9.245178241420675E-4,57532.39773668266,2016-05-23,21:25:47,UVW1,00036388027,2,2.0762793E-14,3.1655755E-16,4.649432,0.07776241
Mrk841,57531.8943485566,4.616841435846355E-4,57532.39917174514,2016-05-23,21:27:51,U,00036388027,2,1.5184905E-14,2.6229974E-16,6.2083416,0.11795046
Mrk841,57531.89532887743,4.6168437503554203E-4,57532.40015203362,2016-05-23,21:29:16,B,00036388027,2,9.0083885E-15,1.7189221E-16,5.631208,0.11421445
Mrk841,57531.89770574352,0.0018504402776145274,57532.40252882118,2016-05-23,21:32:41,UVW2,00036388027,2,2.6844383E-14,3.238152E-16,3.7009013,0.051334944
