Unnamed: 0,Unnamed: 1,id,radeg,raerr,decdeg,decerr,V,Verr,Vnobs,B,Berr,Bnobs,up,SUerr,SUnobs,gp,SGerr,SGnobs,rp,SRerr,SRnobs,ip,SIerr,SInobs,zs,SZerr,SZnobs,Y,Yerr,Ynobs,u_lco,B_lco,g_lco,V_lco,r_lco,i_lco,z_lco,y_lco,uerr_lco,Berr_lco,gerr_lco,Verr_lco,rerr_lco,ierr_lco,zerr_lco,yerr_lco,teff,norm,teff_err,norm_err,ebv,covar,redchi
0,0,0,225.194267,0.662,10.42371,0.472,16.67,0.11,8,17.686,0.193,8,,,0,17.134,0.084,7,16.498,0.1,7,16.218,0.177,7,,,0,,,0,19.15688940688088,17.486926641392415,17.16176417592485,16.7718375363062,16.465933557881378,16.25663839117896,16.182719368190853,15.86739470002496,0.1722634559456876,0.05223019666809728,0.041989369971651654,0.03341282911209314,0.0499583286567309,0.0679596603841026,0.08038067606399625,0.08038067606399608,,,,,,,
1,1,1,225.194391,0.324,10.501033,0.384,13.269,0.041,8,14.283,0.045,8,,,0,13.713,0.025,7,12.917,0.035,7,12.62,0.048,7,12.454,0.138,5,,,0,16.114541571732836,14.127214318882267,13.765269980760152,13.313895118863897,12.905025674490258,12.635997034543443,12.527254884850013,12.211930216684127,0.10987863144592458,0.03705472459155764,0.030926537555063315,0.02481861651917019,0.037855718102521974,0.05276512380088456,0.06184630667711311,0.061846306677112974,,,,,,,
2,2,2,225.198942,0.485,10.347803,0.257,,,0,,,0,,,0,18.006,0.116,1,16.91,0.109,1,16.32,0.169,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,225.214562,0.173,10.564577,0.14,15.041,0.055,8,15.965,0.056,8,,,0,15.442,0.027,7,14.731,0.033,7,14.427,0.044,7,,,0,,,0,17.67220918377579,15.830944122492362,15.484897552934399,15.06291591215216,14.705654608530484,14.467585900249954,14.37660297022261,14.061278302056717,0.09886999829837188,0.033971682683492155,0.02824775149342508,0.021278056483751796,0.027557773974111573,0.03780632781331763,0.04469755729287451,0.04469755729287446,,,,,,,
4,4,4,225.215661,0.6,10.504707,0.291,16.779,0.128,8,17.417,0.234,8,,,0,16.947,0.036,7,16.565,0.083,7,16.233,0.193,3,,,0,,,0,18.305927105834286,17.20022543645119,16.97078728680252,16.70524174395689,16.557376790042014,16.446590098124837,16.44113625885248,16.125811590686588,0.1940616196361653,0.07598783166001702,0.05024157309674614,0.03308978332756978,0.052155998825007106,0.07821040853774178,0.09745880999796222,0.09745880999796225,,,,,,,
5,5,5,225.218059,0.424,10.590143,0.391,14.977,0.05,8,15.864,0.081,8,,,0,15.322,0.034,7,14.724,0.036,7,14.437,0.065,7,,,0,,,0,17.317136884042917,15.69570898283176,15.374577657584549,14.992698774687366,14.701254175777137,14.501817910184055,14.433677998201293,14.1183533300354,0.12832218901273063,0.038474549113421457,0.031008403113756543,0.02600960992065613,0.038896557719300215,0.05190324138311514,0.061057291018471585,0.061057291018471606,,,,,,,
6,6,6,225.227752,0.624,10.203065,0.293,16.469,0.102,8,17.144,0.131,8,,,0,16.696,0.062,7,16.328,0.083,7,16.046,0.291,6,,,0,,,0,18.100134525448524,16.981193536385845,16.7460793878221,16.469822724360185,16.32259854222748,16.210433434671785,16.201807578465136,15.886482910299243,0.11094104218968696,0.03800477895357311,0.029479421195631392,0.03685952368247817,0.058157545789216995,0.0764653794158562,0.08951541975224372,0.0895154197522439,,,,,,,
7,7,7,225.228166,0.477,10.443013,0.239,16.105,0.036,8,16.81,0.082,8,,,0,16.403,0.032,7,15.958,0.068,7,15.756,0.144,7,,,0,,,0,17.884077419953,16.67321190539287,16.414230982238877,16.113618854306935,15.942020452335854,15.812974155804525,15.791611077412028,15.476286409246143,0.11988320829380883,0.04955723826099827,0.03535995651539666,0.019612795807115297,0.013584197448773153,0.023448290598688522,0.03219377031615604,0.032193770316156445,,,,,,,
8,8,8,225.230108,0.562,10.626905,0.375,16.466,0.069,7,17.977,0.116,7,,,0,17.22,0.042,7,15.896,0.084,7,15.128,0.078,7,,,0,,,0,19.93318287334379,17.753351035144945,17.24203812489423,16.578689468079816,15.97449472112504,15.108485664479538,14.706774478753516,14.39144981058762,0.03974619714410927,0.06754264390121709,0.05609204502787013,0.053443258623464135,0.056744686324918775,0.0897133379817132,0.14222910612678435,0.14222910612678422,,,,,,,
9,9,9,225.235099,1.013,10.360801,0.238,,,0,,,0,,,0,18.209,0.133,2,17.386,0.004,2,16.451,0.186,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,225.237706,0.313,10.419894,0.176,,,0,,,0,,,0,18.553,0.191,1,17.332,0.156,1,16.477,0.184,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,225.238322,0.343,10.468505,0.299,15.852,0.073,8,16.727,0.129,8,,,0,16.222,0.031,7,15.549,0.047,7,15.301,0.115,7,,,0,,,0,18.248915319983873,16.570688947224603,16.242417831212123,15.851062628482417,15.546967301238553,15.338418737722844,15.265165231823147,14.949840563657258,0.06861305313784986,0.018263753013030442,0.014386427369348026,0.012377530050070192,0.02154584870689074,0.02913203345715872,0.034199770785284966,0.034199770785284946,,,,,,,
12,12,12,225.242373,0.405,10.53527,0.345,16.104,0.107,8,16.739,0.11,8,,,0,16.332,0.028,7,15.886,0.073,7,15.737,0.132,7,,,0,,,0,17.76730528884429,16.590899167693948,16.341079493009715,16.050835616483134,15.888898883209961,15.766338449213535,15.750073428281887,15.434748760116001,0.07272744487446388,0.018967513746204326,0.014134637477001156,0.021857679406534082,0.03761545308334528,0.04967369571763329,0.05813982753132463,0.05813982753132465,,,,,,,
13,13,13,225.24268,0.54,10.300723,0.357,17.201,0.121,5,17.955,0.276,5,,,0,17.512,0.108,6,16.951,0.184,6,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,225.245815,0.381,10.556879,0.237,15.703,0.048,8,16.408,0.072,8,,,0,15.994,0.034,7,15.488,0.055,7,15.282,0.089,7,,,0,,,0,17.632424816333994,16.30109383892711,16.022142421714605,15.694936754696755,15.486111764205717,15.33342757668601,15.29726872154247,14.98194405337658,0.09117432037821104,0.029728702565267363,0.0212499611400056,0.015889920105136082,0.023731859514958688,0.03311501636668023,0.04001090548468118,0.0400109054846813,,,,,,,
15,15,15,225.250164,0.348,10.478891,0.462,13.765,0.038,8,14.427,0.046,8,,,0,13.994,0.033,7,13.592,0.049,7,13.409,0.076,7,13.22,0.263,2,,,0,15.496424241739312,14.298396021309404,14.044177978062166,13.74755395169084,13.580106598022493,13.454150180139266,13.434808048535231,13.119483380369338,0.09822468964143075,0.0290321464915474,0.024110281179841153,0.0321491294099379,0.050988675170767654,0.06585674507752928,0.07640738179883333,0.0764073817988332,,,,,,,
16,16,16,225.252281,0.153,10.653518,0.449,,,0,,,0,,,0,18.41,0.157,1,17.705,0.218,1,16.476,0.19,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
17,17,17,225.253206,0.516,10.232877,0.323,16.898,0.126,5,17.869,0.351,5,,,0,17.367,0.075,7,16.352,0.069,7,16.021,0.22,7,,,0,,,0,20.06455360399155,17.791015925228585,17.393912584926454,16.872353571415523,16.359832758119886,16.01534499848198,15.866441932017423,15.551117263851538,0.044573360925423224,0.015619354277442958,0.01297639106512741,0.01053521942363918,0.01542529332714587,0.024895759831145867,0.029925105716849698,0.029925105716849545,,,,,,,
18,18,18,225.255556,0.34,10.26781,0.236,16.013,0.099,8,17.142,0.11,8,,,0,16.518,0.045,7,15.555,0.062,7,15.209,0.107,7,,,0,,,0,19.204379094924896,16.957616028348752,16.566090613339462,16.049843481325418,15.54385207035778,15.205368471708077,15.0602367505393,14.744912082373414,0.08781495110650843,0.03204650537744408,0.02748332362796103,0.025292356434403994,0.037635138762718554,0.05718597809772445,0.0677252079913059,0.06772520799130595,,,,,,,
19,19,19,225.2562,0.899,10.573844,0.397,17.399,0.066,4,17.889,0.154,4,,,0,17.581,0.123,5,17.182,0.195,5,16.578,0.198,1,,,0,,,0,19.166726485064473,17.933546509953082,17.67835312646921,17.402597793442595,17.235614676638342,17.08999458030427,17.04572693608405,16.730402267918166,0.8649052458235734,0.488275523946866,0.4141086232563071,0.3209327103129609,0.23344085417243307,0.17626531023469,0.20282437447808224,0.20282437447808274,,,,,,,
20,20,20,225.256875,0.722,10.39089,0.27,,,0,,,0,,,0,17.866,0.091,5,16.673,0.15,5,16.146,0.159,4,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
