,time,count
0,54101.028739724905,0.5457886
1,54101.029499007316,0.7098436
2,54101.03039891472,0.55439
3,54101.031566646205,0.3988998
4,54101.032829296666,0.5950796
5,54101.033772143885,0.4749478
6,54101.034858092964,0.8425485
7,54101.03564751426,0.6395941
8,54101.03657609065,0.4814043
9,54101.037512097595,0.7994217
10,54101.038268833705,0.7924222
11,54101.03956663463,0.4685481
12,54101.10156885685,0.6079077
13,54101.10261774574,0.5849966
14,54101.10368084759,0.5043516
15,54101.10494639157,0.4742971
16,54101.106110257315,0.5908716
17,54101.107317641574,0.5821721
18,54101.16900500268,0.8146549
19,54101.16986676194,0.4991284
20,54101.170805917034,0.7036582
21,54101.171598856854,0.8688772
22,54101.17224649574,0.8347799
23,54101.17362464389,0.562864
24,54101.227616206386,0.5248208
25,54101.22879283833,0.4064661
26,54101.22984635685,0.5597493
27,54101.23089251426,0.4931294
28,54101.23168994481,0.696295
29,54101.23242193556,0.6098503
30,54101.23314891472,0.7527131
31,54101.234108081386,0.4909428
32,54101.235053984165,0.5537759
33,54101.23588399574,0.6986196
34,54101.23676760685,0.5767718
35,54101.23767311611,0.5221448
36,54101.23878287306,0.4025828
37,54101.23975963231,0.6341326
38,54101.24060547722,0.7685401
39,54101.29779742166,0.6833738
40,54101.29856213232,0.8151394
41,54101.29925198185,0.6303345
42,54101.30023063926,0.4666635
43,54101.30105921565,0.6379236
44,54101.301864539724,0.6408485
45,54101.30259787305,0.8505434
46,54101.30322127583,0.6770743
47,54101.30417007213,0.4105739
48,54101.30535157676,0.4551229
49,54101.306504180924,0.5296114
50,54101.30752583602,0.4603898
51,54101.367911518886,0.4469859
52,54101.36935232907,0.4173954
53,54101.37059159991,0.6316931
54,54101.37153319713,0.5029589
55,54101.37257657676,0.656775
56,54101.37335723648,0.8443679
57,54101.37445831287,0.6306147
58,54101.43692198185,0.5533811
59,54101.43789551195,0.5518191
60,54101.438814042034,0.572999
61,54101.43963532676,0.6979701
62,54101.44094319713,0.5084442
63,54101.50587326657,0.623182
64,54101.506914667036,0.4540551
65,54101.507796391576,0.6950821
66,54101.508688636946,0.7252969
67,54101.57367026889,0.3744757
68,54101.57517576657,0.3851503
69,54101.64028975963,0.6322217
70,54101.64214965546,0.4979427
71,54101.70116953972,0.6411892
72,54101.70215761843,0.4029887
73,54101.703264771204,0.4613986
74,54101.70419051194,0.5559213
75,54101.70522504898,0.4299224
76,54101.7063872712,0.4053355
77,54101.70738849806,0.5717576
78,54101.708217005,0.5482843
79,54101.70924646102,0.6625856
80,54101.76786815083,0.6165132
81,54101.76889973648,0.3586319
82,54101.77001560454,0.4738867
83,54101.771008081385,0.5384923
84,54101.77208198185,0.4328375
85,54101.7731250837,0.5283089
86,54101.77391720176,0.729299
87,54101.77480817398,0.3941
88,54101.77599982907,0.6578986
89,54101.835120998054,0.6070069
90,54101.83627302352,0.354724
91,54101.83745128741,0.550101
92,54101.83818692398,0.5708075
93,54101.83909813926,0.5391393
94,54101.84003400731,0.4522962
95,54101.841126623054,0.5591909
96,54101.84179699342,0.6180135
97,54101.843175014255,0.4775746
98,54101.901728046665,0.8029291
99,54101.902634886945,0.432261
100,54101.90368105593,0.4803071
101,54101.904738810554,0.4197105
102,54101.905580430925,0.5973101
103,54101.906914898515,0.3407207
104,54101.908122525834,0.3947839
105,54101.90973550037,0.4916353
106,54101.96847273417,0.7259863
107,54101.96964362537,0.3106783
108,54101.97080302352,0.5201499
109,54101.971783891575,0.4931791
110,54101.97284994481,0.3676564
111,54101.97392554666,0.5817559
112,54101.974771484165,0.5621691
113,54101.97573492167,0.4411863
114,54101.97705085917,0.3380179
115,54133.02853119481,0.7567532
116,54133.029224771206,0.7083462
117,54133.03001411148,0.7493731
118,54133.03067312769,0.7526146
119,54133.03170596333,0.5021612
120,54133.03265752583,0.5316715
121,54133.03347471333,0.7221482
122,54133.034256796665,0.7171036
123,54133.03520719019,0.5249095
124,54133.03609810454,0.5387325
125,54133.03689994481,0.735005
126,54133.037808822126,0.5701086
127,54133.03879037305,0.5495102
128,54133.03986237537,0.6045573
129,54133.0958407087,0.784859
130,54133.09665741009,0.6202369
131,54133.097509354535,0.5751625
132,54133.09847598648,0.5945656
133,54133.09942030361,0.4497185
134,54133.10059072028,0.6678692
135,54133.10133560454,0.6022715
136,54133.102581217965,0.44529
137,54133.10337569713,0.8705461
138,54133.10416806981,0.7217467
139,54133.10486296564,0.7188762
140,54133.10560006055,0.7497414
141,54133.10665369481,0.613968
142,54133.16248891472,0.7384382
143,54133.1638020513,0.3223239
144,54133.16510573185,0.5286131
145,54133.16647332445,0.5154238
146,54133.16728151889,0.524281
147,54133.16836251426,0.6248119
148,54133.16929550037,0.6996587
149,54133.17013126426,0.6584897
150,54133.17094962074,0.6889951
151,54133.17183617166,0.6634758
152,54133.17261971333,0.6401898
153,54133.17371907676,0.6011098
154,54133.22965846333,0.3541613
155,54133.230780708705,0.5083609
156,54133.231818926295,0.7854958
157,54133.23268081287,0.6393603
158,54133.23341217861,0.6747838
159,54133.23416813926,0.7288493
160,54133.23485301194,0.6982086
161,54133.23582737537,0.5639729
162,54133.23676975963,0.6112631
163,54133.23771290778,0.4763946
164,54133.23871844018,0.5349782
165,54133.24015201657,0.5321096
166,54133.49838228278,0.733606
167,54133.49913244481,0.658584
168,54133.500159296666,0.5161757
169,54133.56449462074,0.6524578
170,54133.565632190184,0.5095492
171,54133.56675816241,0.6586916
172,54133.56788266472,0.4376926
173,54133.569892051295,0.5288258
174,54134.0363767388,0.5844012
175,54134.03728443555,0.5884943
176,54134.03813098648,0.5525268
177,54134.03931063926,0.4192537
178,54134.04037712074,0.5732818
179,54134.04131590546,0.5308313
180,54134.04257100963,0.4198618
181,54134.04379626426,0.4838034
182,54134.1035528962,0.6147749
183,54134.10509875268,0.2953287
184,54134.10622561611,0.4883431
185,54134.10743283833,0.341821
186,54134.10871516472,0.5355864
187,54134.11021884528,0.4540084
188,54134.17056153046,0.4627021
189,54134.17155235222,0.4931496
190,54134.17285969018,0.4045001
191,54134.17400306981,0.5119562
192,54134.17493459759,0.6861026
193,54134.17593577815,0.4152137
194,54134.177131391574,0.3909608
195,54134.17822340546,0.7791181
196,54134.23780784991,0.4472284
197,54134.239052792036,0.4467198
198,54134.239914886944,0.7025471
199,54134.241129157774,0.3373941
200,54134.24246171565,0.5233293
201,54134.24394963231,0.4024698
202,54134.57185655361,0.4240289
203,54134.573330824445,0.3866846
204,54134.57450177352,0.472439
205,54134.57573994481,0.4907447
206,54134.639065268886,0.4601345
207,54134.64012594018,0.5841365
208,54134.64085067398,0.8110657
209,54134.641425546666,0.9485787
210,54134.64202092861,0.6575862
211,54134.64298874111,0.5023764
212,54134.64432060454,0.3524458
213,54134.64549459759,0.4799268
214,54134.64660024574,0.4371689
215,54134.647545940185,0.5533819
216,54134.70606504898,0.3646597
217,54134.70723163463,0.4465008
218,54134.70820524574,0.5825396
219,54134.709271727224,0.346895
220,54134.71043251426,0.5854733
221,54134.71157692398,0.4597073
222,54134.71255385685,0.5942571
223,54134.71348898417,0.4991656
224,54621.30075025732,0.6437356
225,54621.301577977225,0.5176902
226,54621.30250371796,0.6588871
227,54621.303142143886,0.6173245
228,54621.30382666935,0.9703027
229,54621.30444949342,0.6939379
230,54621.305440523516,0.4954109
231,54621.30604413463,0.7904701
232,54621.306758023515,0.752673
233,54621.30742112537,0.7538439
234,54621.308045604535,0.8295122
235,54621.30868059296,0.6158875
236,54621.309375743425,0.8019696
237,54621.31012398416,0.7568291
238,54621.310931009626,0.4961711
239,54685.71589264157,0.8971791
240,54685.71682355592,0.4753341
241,54685.71758823185,0.6651099
242,54685.7182919587,0.7505307
243,54685.719517329075,0.5905487
244,54685.77060605593,0.5586863
245,54685.77151319713,0.5432532
246,54685.772387873054,0.5639538
247,54685.773218463335,0.5091147
248,54685.774176113795,0.7077474
249,54685.77499675037,0.5822198
250,54685.775826102225,0.6223316
251,54685.77653335917,0.7248797
252,54685.77730237537,0.6574555
253,54685.778222305926,0.3864796
254,54685.779443775835,0.4662435
255,54685.780446680925,0.5700768
256,54685.781251981854,0.4549912
257,54685.78222428509,0.8041328
258,54685.78304540778,0.4624474
259,54685.783888440186,0.7637421
260,54685.78464537305,0.6802189
261,54685.785484180924,0.6003155
262,54685.78658456287,0.5422848
263,54685.831594157775,0.4842623
264,54685.83226161148,1.168646
265,54685.83280815083,0.9741185
266,54685.8334485212,0.6062318
267,54685.83424532676,0.9904806
268,54685.83477709759,0.7247517
269,54685.83565257213,0.6090578
270,54685.83651301194,0.5805172
271,54685.83768251426,0.3863459
272,54685.83877947028,0.6482188
273,54685.83955043092,0.5968378
274,54685.84054386843,0.5582993
275,54685.841410118424,0.5731996
276,54685.84237502583,0.5861041
277,54685.84307295407,0.8217473
278,54685.843814967964,0.6570152
279,54685.84485041935,0.4552237
280,54685.84570360222,0.7997284
281,54685.846416044355,0.6296205
282,54685.84733465546,0.5424065
283,54685.84817347491,0.682723
284,54685.84928728278,0.4234018
285,54685.850252467964,0.6744851
286,54685.85095185453,0.6228569
287,54685.851765859166,0.6875778
288,54685.8524891462,0.7642451
289,54685.85361401889,0.4983626
290,54685.892693255,0.6776586
291,54685.89365671565,0.4916578
292,54685.89457374111,0.6875972
293,54685.895329713334,0.7361961
294,54685.89611905361,0.6320518
295,54685.89662253741,1.258986
296,54685.897419065186,0.5733635
297,54685.89807194713,0.9241024
298,54685.89874389157,0.7054131
299,54685.89961594019,0.5301053
300,54685.90048073185,0.6073168
301,54685.9017517388,0.4417992
302,54685.90278055824,0.4807354
303,54685.90376889157,0.4803062
304,54685.90483370639,0.5927133
305,54685.90553163463,0.6669072
306,54685.9065603962,0.4836626
307,54685.90730765315,0.6765946
308,54685.90828166935,0.5996847
309,54685.90913881055,0.6611615
310,54685.90972936611,0.8365605
311,54685.91047662305,0.6987552
312,54685.91133561611,0.4810392
313,54685.91226280361,0.730682
314,54685.91307971333,0.6318515
315,54685.91371524574,0.7193167
316,54685.914567051295,0.5918946
317,54685.9154985212,0.6002248
318,54685.91618193556,0.799354
319,54685.916839238795,0.6923698
320,54685.91779254898,0.5099009
321,54685.91873279204,0.5965258
322,54685.91959032676,0.5195011
323,54685.92061618324,0.5111517
324,54685.959869273516,0.4438391
325,54685.96085014157,0.5239236
326,54685.9618716462,0.6099836
327,54685.96267113694,0.6067538
328,54685.963308127684,0.7728469
329,54685.964082329076,0.8481092
330,54685.964831322126,0.7006555
331,54685.965724030466,0.5238412
332,54685.966690396206,0.5769667
333,54685.96748896102,0.7603797
334,54685.968224088334,0.8284669
335,54685.969152514255,0.4454487
336,54685.97019584759,0.6118103
337,54685.971092699445,0.6958501
338,54685.97194298879,0.509304
339,54685.97298480592,0.6543728
340,54685.97364209759,0.8116752
341,54685.97429041935,0.9082884
342,54685.97487357907,0.8667008
343,54685.97575909991,0.4709716
344,54685.976623891576,0.8104665
345,54685.977484331386,0.5119648
